Node 0,Node 1,Node 2,Node 3,Node 4,Node 5,Node 6,Node 7,Node 8,Node 9,Node 10,Node 11,Node 12,Node 13,Node 14,Node 15,Node 16,Node 17,Node 18,Node 19,Node 20,Node 21,Node 22,Node 23,Node 24,Node 25,Node 26,Node 27,Node 28,Node 29,Node 30,Node 31,Node 32,Node 33,Node 34,Node 35,Node 36,Node 37,Node 38,Node 39,Node 40,Node 41,Node 42,Node 43,Node 44,Node 45,Node 46,Node 47,Node 48,Node 49,Node 50,Node 51,Node 52,Node 53,Node 54,Node 55,Node 56,Node 57,Node 58,Node 59,Node 60,Node 61,Node 62,Node 63,Node 64,Node 65,Node 66,Node 67,Node 68,Node 69,Node 70,Node 71,Node 72,Node 73,Node 74,Node 75,Node 76,Node 77,Node 78,Node 79,Node 80,Node 81,Node 82,Node 83,Node 84,Node 85,Node 86,Node 87,Node 88,Node 89,Node 90,Node 91,Node 92,Node 93,Node 94,Node 95,Node 96,Node 97,Node 98,Node 99,ns since start
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98389400
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177920900
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278935400
1,1,2,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,377548400
1,2,3,2,1,3,1,1,0,2,0,2,2,1,1,2,2,1,2,1,0,1,0,0,0,2,1,2,2,0,1,1,0,3,1,2,0,2,2,1,1,3,0,0,2,2,2,2,1,2,1,1,0,1,2,1,1,1,2,1,1,2,2,0,2,2,1,2,2,2,0,2,2,2,2,2,1,0,2,1,1,0,2,2,1,0,1,1,3,2,2,2,1,2,2,2,1,0,1,2,477089500
3,4,3,3,3,4,4,5,5,4,2,5,3,4,5,5,5,3,5,3,2,2,3,3,4,4,4,2,3,3,3,2,3,4,3,4,2,4,3,4,3,6,4,3,3,4,3,4,4,5,3,2,3,3,4,4,6,3,3,4,2,3,4,3,2,3,2,2,3,3,2,3,4,4,2,4,3,3,3,3,5,3,4,3,4,2,3,4,4,2,3,4,2,3,3,4,2,4,4,2,578158100
7,5,4,5,5,5,6,7,6,6,5,5,6,6,6,6,6,5,5,5,6,4,5,5,7,6,8,7,5,6,5,5,4,5,6,6,5,6,4,6,5,7,5,4,4,6,4,5,7,6,6,5,7,5,5,4,7,5,4,6,5,6,5,4,4,6,5,6,5,6,6,6,7,5,6,7,5,5,5,6,5,5,6,6,8,5,6,7,6,5,4,6,4,6,6,6,4,6,6,7,679356200
8,7,8,9,8,8,8,8,7,10,7,8,7,8,9,8,8,6,8,9,8,8,8,7,9,8,9,8,9,9,9,6,8,8,9,6,9,10,7,9,8,8,6,8,8,9,7,7,7,8,8,9,9,7,8,9,7,6,8,9,9,6,7,8,9,9,8,8,7,9,8,8,8,8,9,8,8,7,7,8,8,8,8,9,9,8,8,9,6,7,9,7,6,8,8,8,7,9,7,9,778316000
10,11,10,10,9,9,8,10,10,10,10,11,9,10,9,10,10,10,11,11,10,10,10,10,11,8,10,10,11,10,11,9,10,11,10,11,12,11,11,11,8,11,10,10,9,9,11,10,9,11,9,10,11,10,10,9,10,9,10,10,10,10,9,9,10,11,9,10,11,10,8,10,11,9,11,10,10,9,9,10,9,10,10,10,9,10,10,11,9,10,9,11,10,11,10,10,10,11,10,9,877611900
13,13,13,10,12,11,11,12,11,10,12,12,13,12,12,13,12,12,12,12,12,12,13,11,11,12,12,12,13,11,12,11,11,11,11,12,13,11,13,11,12,11,12,11,13,11,11,12,12,11,11,11,12,12,13,11,12,9,11,12,11,12,11,12,12,11,12,12,14,12,12,12,11,10,13,11,11,11,11,12,11,12,12,12,11,12,11,11,12,13,12,11,10,12,12,11,12,12,11,12,977083000
14,14,14,14,15,13,14,12,13,14,13,14,15,14,13,14,15,14,14,13,13,14,14,14,14,13,13,14,13,12,14,13,13,14,13,13,14,13,14,12,14,14,13,13,14,13,13,14,14,14,12,13,13,13,14,13,14,13,14,13,12,14,14,13,13,12,13,13,14,13,13,14,13,13,14,12,12,13,14,13,13,13,14,14,14,13,14,13,14,13,14,14,12,13,14,13,13,13,14,13,1093015100
15,15,16,15,16,14,15,15,16,16,16,16,15,16,15,16,15,15,16,16,16,16,17,15,16,15,15,16,15,15,15,14,15,16,15,16,16,16,16,15,15,16,16,15,16,15,15,15,15,16,14,16,15,15,15,14,15,15,16,15,14,15,15,14,17,15,15,15,17,16,15,15,16,15,15,15,15,15,15,15,15,14,15,16,15,15,15,16,15,16,15,16,15,17,17,15,15,15,15,15,1190555200
19,18,19,18,19,19,17,19,18,19,19,20,20,20,19,20,19,19,19,20,19,19,19,18,18,17,20,20,21,18,19,19,19,18,19,18,19,19,19,18,19,18,18,20,19,17,17,20,18,18,19,19,19,19,18,19,19,19,19,19,19,20,18,19,19,19,20,19,19,19,20,19,18,19,19,19,19,18,18,18,18,19,18,19,17,17,19,20,18,18,19,19,19,19,19,18,19,20,19,20,1321489700
20,20,20,20,20,21,21,21,20,21,20,21,20,20,20,20,22,20,20,20,20,20,20,20,21,21,20,22,21,22,21,19,21,19,20,19,21,21,20,20,20,20,20,21,21,19,19,21,21,21,21,21,20,20,20,19,20,19,19,20,20,20,20,20,19,20,20,21,21,21,20,20,22,20,21,20,21,20,19,21,20,20,20,20,21,21,20,20,20,21,21,20,19,20,20,20,20,20,20,20,1411175800
21,22,22,21,22,22,22,21,21,23,23,23,21,22,21,22,22,22,20,22,21,22,22,21,22,22,22,22,23,23,21,21,21,22,23,21,22,22,21,23,21,22,21,21,22,22,22,21,21,22,21,22,22,22,22,22,22,21,22,21,20,21,22,21,22,22,20,22,22,22,21,20,23,22,22,22,21,21,22,22,21,21,21,23,23,22,20,22,21,22,21,22,21,22,22,21,21,21,23,22,1516430600
23,23,24,22,22,23,24,25,24,25,23,24,24,24,23,23,23,24,23,24,23,23,23,22,24,25,23,24,23,23,24,22,23,24,24,21,25,24,23,24,22,23,24,23,24,24,22,22,23,24,22,24,22,22,23,23,24,22,23,25,24,24,24,22,24,23,24,24,23,24,22,22,24,23,23,25,23,22,23,25,22,23,25,24,24,24,22,25,22,23,23,24,22,22,23,23,22,23,24,24,1667445400
23,25,24,25,25,23,26,25,26,25,27,25,24,24,23,23,23,25,25,24,23,23,26,25,26,25,25,24,26,23,25,22,25,25,27,21,25,24,26,28,22,23,24,24,25,26,25,22,23,25,25,24,25,22,23,25,25,22,24,26,24,24,25,25,26,23,24,24,23,24,23,22,25,24,25,25,26,25,25,25,23,24,26,26,24,24,22,27,22,23,25,25,22,25,23,23,25,23,25,24,1704981200
32,27,27,29,26,26,26,31,29,30,29,27,27,26,27,26,27,26,27,28,26,25,29,26,29,30,28,25,28,27,29,26,29,30,28,30,28,27,28,31,29,29,27,27,32,28,26,27,26,26,28,25,26,26,27,25,26,29,25,30,28,26,26,26,29,29,29,27,25,27,27,26,29,27,27,27,30,25,29,30,26,25,26,28,29,31,25,27,27,27,29,28,26,26,27,28,26,29,28,28,1889691200
32,28,31,29,26,32,27,31,30,31,32,29,30,30,27,27,30,28,27,30,31,25,29,28,31,30,29,25,30,30,29,27,29,30,29,31,32,31,30,32,30,31,28,29,32,30,31,29,29,30,31,30,29,26,29,30,30,29,30,31,30,28,29,29,31,31,30,28,29,30,29,28,29,28,27,31,32,29,29,31,26,29,26,28,29,31,29,32,29,28,29,30,29,30,30,31,30,30,30,30,1942422300
32,31,31,31,30,32,30,32,30,31,32,31,30,31,32,30,31,29,30,31,31,30,30,30,32,31,31,31,32,30,31,30,29,31,32,32,32,31,31,32,30,31,30,29,32,31,32,31,30,30,32,30,30,27,31,30,31,30,30,31,31,28,31,31,31,31,31,29,31,32,31,29,30,31,32,31,32,31,30,32,31,30,31,31,32,32,30,32,30,31,31,31,30,30,31,31,30,30,30,30,1996747600
32,33,34,32,32,32,32,32,32,32,32,32,32,32,34,32,33,32,33,32,32,31,32,32,32,33,32,32,32,31,32,32,32,32,32,33,32,32,32,32,31,32,31,31,33,33,33,33,33,33,33,32,32,31,32,32,32,32,33,32,32,32,34,32,32,34,32,32,32,33,32,31,32,32,33,33,32,31,32,33,32,31,32,33,32,32,32,32,33,32,32,33,31,32,33,31,31,32,32,32,2080764000
36,36,37,36,33,32,32,35,33,34,33,34,35,34,36,36,37,34,36,34,35,32,34,34,32,37,36,37,33,34,36,35,33,34,37,36,34,34,36,34,36,35,33,34,35,36,34,35,33,33,34,34,35,34,34,36,33,35,36,33,34,34,37,34,36,35,33,36,35,33,34,34,34,35,33,36,33,33,33,34,34,33,34,35,33,35,35,32,35,35,36,35,32,36,34,36,35,33,33,35,2199604300
